日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-30,600000,12.17,12.39,12.41,12.1,740511,910372295.0,2.55,1.81,0.22,0.22
2025-12-31,600000,12.35,12.44,12.45,12.14,824459,1016605870.0,2.5,0.4,0.05,0.25
2026-01-05,600000,12.47,11.82,12.48,11.8,1222843,1459886350.0,5.47,-4.98,-0.62,0.37
2026-01-06,600000,11.78,12.0,12.03,11.71,1213754,1439780652.0,2.71,1.52,0.18,0.36
2026-01-07,600000,11.91,11.79,11.98,11.76,704742,833114859.0,1.83,-1.75,-0.21,0.21
2026-01-08,600000,11.78,11.54,11.78,11.48,800173,924663651.0,2.54,-2.12,-0.25,0.24
2026-01-09,600000,11.56,11.54,11.57,11.46,423616,487401034.0,0.95,0.0,0.0,0.13
2026-01-12,600000,11.55,11.66,11.68,11.51,601102,697500168.0,1.47,1.04,0.12,0.18
2026-01-13,600000,11.72,11.57,11.75,11.54,496201,577967676.0,1.8,-0.77,-0.09,0.15
2026-01-14,600000,11.61,11.24,11.64,11.22,1365644,1562032443.0,3.63,-2.85,-0.33,0.41
2026-01-15,600000,11.22,11.16,11.26,11.16,692783,776363088.0,0.89,-0.71,-0.08,0.21
2026-01-16,600000,11.19,11.04,11.27,10.88,1268113,1399112204.0,3.49,-1.08,-0.12,0.38
2026-01-19,600000,10.99,11.12,11.21,10.93,731551,811475590.0,2.54,0.72,0.08,0.22
2026-01-20,600000,11.1,11.03,11.11,10.94,735259,809278404.0,1.53,-0.81,-0.09,0.22
2026-01-21,600000,11.03,10.74,11.06,10.71,962622,1044627492.0,3.17,-2.63,-0.29,0.29
2026-01-22,600000,10.74,10.63,10.9,10.6,1529755,1633552621.0,2.79,-1.02,-0.11,0.46
2026-01-23,600000,10.63,10.51,10.66,10.47,1323244,1394174259.0,1.79,-1.13,-0.12,0.4
2026-01-26,600000,10.49,10.35,10.53,10.34,1490771,1552120341.0,1.81,-1.52,-0.16,0.45
2026-01-27,600000,10.34,10.2,10.4,10.18,954300,983073878.0,2.13,-1.45,-0.15,0.29
2026-01-28,600000,10.2,10.05,10.26,10.01,1400902,1416381407.0,2.45,-1.47,-0.15,0.42
2026-01-29,600000,10.03,10.15,10.19,9.88,1821647,1823281315.0,3.08,1.0,0.1,0.55
