date,code,open,high,low,close,volume,amount
2025-10-31,sh.600036,41.2600,41.3000,40.8400,40.8900,70260700,2881797757.9000
2025-11-03,sh.600036,41.1400,41.9700,41.0600,41.7900,92198068,3837027067.9700
2025-11-04,sh.600036,41.8400,43.1100,41.8100,43.0100,134003592,5731414415.9600
2025-11-05,sh.600036,43.1000,43.4700,42.7500,42.8000,73171377,3142006311.5200
2025-11-06,sh.600036,42.6500,42.8900,42.3100,42.3400,87197274,3704094151.6900
2025-11-07,sh.600036,42.4000,42.7200,42.2800,42.5100,59319118,2521251001.7800
2025-11-10,sh.600036,42.4500,42.8800,42.2800,42.7200,53236873,2272065471.4800
2025-11-11,sh.600036,42.6900,43.0400,42.5200,42.9600,54467066,2335614859.5000
2025-11-12,sh.600036,43.1200,43.3600,42.9300,42.9300,58792878,2538488042.1800
2025-11-13,sh.600036,42.9700,43.3000,42.7400,43.2100,58798006,2531083385.5600
2025-11-14,sh.600036,43.2400,43.5900,43.1800,43.2500,51820955,2251121742.7400
2025-11-17,sh.600036,43.1000,43.2000,42.5000,42.6500,61067446,2605355053.1200
2025-11-18,sh.600036,42.5600,42.9100,42.4400,42.8800,51743927,2210394704.6200
2025-11-19,sh.600036,42.8800,43.5000,42.8000,43.2200,51169639,2211527917.5300
2025-11-20,sh.600036,43.2200,43.7900,43.0500,43.2300,58585152,2545450518.6300
2025-11-21,sh.600036,43.2400,43.5500,42.7600,43.0000,79126405,3414438912.7900
2025-11-24,sh.600036,43.1000,43.2100,42.5100,42.6300,67854882,2903502508.3300
2025-11-25,sh.600036,42.6600,43.3000,42.4400,43.2500,66640949,2860710968.0300
2025-11-26,sh.600036,43.3400,43.6300,42.9700,43.2500,45107206,1950643251.7500
2025-11-27,sh.600036,43.1800,43.3900,42.6000,43.1900,62143434,2671439101.8200
2025-11-28,sh.600036,43.1000,43.1200,42.8200,42.9500,49465789,2126261782.3300
2025-12-01,sh.600036,43.0800,43.4700,42.9300,43.4400,56791942,2454940642.8600
2025-12-02,sh.600036,43.4400,43.6500,43.2200,43.3800,40673497,1765681347.9600
2025-12-03,sh.600036,43.2700,43.5800,43.0000,43.0100,46895972,2029264530.8800
2025-12-04,sh.600036,43.0500,43.4200,43.0100,43.2200,36120746,1560898874.4000
2025-12-05,sh.600036,43.2500,43.5500,42.9100,43.4500,54890622,2372985274.7000
2025-12-08,sh.600036,43.4400,43.6400,43.0700,43.1800,58003881,2512101222.8000
2025-12-09,sh.600036,43.1800,43.3000,42.8300,43.0400,46593870,2007147247.6300
2025-12-10,sh.600036,43.0800,43.0800,41.5500,41.7000,108315686,4546989729.2100
2025-12-11,sh.600036,41.8600,42.0500,41.4100,41.6800,84623107,3525927169.1200
2025-12-12,sh.600036,41.7500,41.8300,41.4800,41.7400,71762547,2991877686.5000
2025-12-15,sh.600036,41.7400,42.2800,41.6300,41.8000,56266557,2361986962.3700
2025-12-16,sh.600036,41.7800,42.1300,41.4300,41.7000,56617635,2359934980.4400
2025-12-17,sh.600036,41.6000,41.8500,41.2300,41.5200,63126744,2619154132.3700
2025-12-18,sh.600036,41.5400,42.4200,41.4000,42.3700,76811931,3224732019.6700
2025-12-19,sh.600036,42.3700,42.4800,41.9100,41.9900,57382341,2421818092.9300
2025-12-22,sh.600036,42.0800,42.1300,41.7100,41.7700,52473989,2197149655.5200
2025-12-23,sh.600036,41.7400,42.0400,41.6600,41.9100,60651014,2539576612.5400
2025-12-24,sh.600036,41.9300,41.9900,41.5500,41.8300,53630520,2241620144.9800
2025-12-25,sh.600036,41.9300,42.0800,41.7000,41.7800,49921351,2090265136.5500
2025-12-26,sh.600036,41.7900,41.8800,41.6200,41.7000,50880959,2123779707.6700
2025-12-29,sh.600036,41.6600,41.9300,41.4200,41.8700,68255105,2848984781.8800
2025-12-30,sh.600036,41.9000,42.4800,41.7800,42.2800,83478293,3522122451.9000
2025-12-31,sh.600036,42.2400,42.3300,41.9200,42.1000,55414239,2335536695.1600
2026-01-05,sh.600036,42.4800,42.8000,42.2700,42.3500,84082964,3571507106.7100
2026-01-06,sh.600036,42.4500,42.7900,42.0900,42.7300,92371482,3918152818.8900
2026-01-07,sh.600036,42.7500,43.0200,42.1400,42.1500,88055952,3735889227.4800
2026-01-08,sh.600036,42.2000,42.2500,41.3000,41.5800,111572692,4642639924.9500
2026-01-09,sh.600036,41.5400,41.7600,41.1200,41.3000,98547074,4069939124.6200
2026-01-12,sh.600036,41.3000,41.4300,41.0000,41.1200,118664058,4887859874.3200
2026-01-13,sh.600036,41.2000,41.3800,41.0300,41.1300,115936473,4772124911.9700
2026-01-14,sh.600036,41.1300,41.1700,40.0600,40.0700,191774380,7803195414.9800
2026-01-15,sh.600036,40.1100,40.4200,40.0000,40.1100,121727094,4886718462.7800
2026-01-16,sh.600036,39.4900,39.5000,38.6500,38.7200,152524530,5941062876.7800
2026-01-19,sh.600036,38.7300,38.9200,38.5000,38.5500,98870273,3825610922.1000
2026-01-20,sh.600036,38.5700,39.1300,38.5100,38.7300,111387322,4327688232.6900
2026-01-21,sh.600036,38.9200,38.9400,38.1800,38.2400,121499985,4683716085.1400
2026-01-22,sh.600036,38.2700,38.5800,37.8000,37.8500,187754633,7138121617.3400
2026-01-23,sh.600036,37.8500,38.1700,37.3800,37.5000,189211273,7135111002.8300
